instancia,tempo_execucao,valor_mochila,peso_mochila,capacidade_mochila,peso_total
102,7.807599818866138e-05,83232.0,816,816,0
10302,0.00796502707006365,1114913346,108223,195738,0
1097,0.0006386976625367358,12034090.0,10970,10970,0
10,1.0112955486877182e-05,1160,116,150,0
111302,0.06973945833333378,74328811224.0,667812,667812,0
117,8.409805735430136e-05,139815,1195,1989,0
11850,0.0058076960556843965,421267500.0,35550,35550,0
11,8.378838761139824e-06,242.0,22,22,0
1262,0.0007222405026722425,11148508.0,8834,8834,0
128028,0.06654422368421072,16391168784.0,128028,128028,0
12,1.1417148089455567e-05,1776,148,192,0
135,8.47178075228736e-05,184410,1366,1755,0
13630,0.006807122448979616,557330700.0,40890,40890,0
13,9.460908511213765e-06,169.0,13,13,0
1451,0.0008517283256685396,21054010.0,14510,14510,0
147267,0.10186774000000014,195188123601.0,1325403,1325403,0
14,1.2185316696317592e-05,2184,156,224,0
155,8.825996010661705e-05,216225.0,1395,1395,0
15678,0.011168370535714242,2562757236,163462,172458,0
15,1.2531780563729022e-05,2475,165,180,0
1670,0.0010115407647177592,28592070,17121,18370,0
169397,0.12532037500000115,300591927354,1774482,3387940,0
16,1.0068009335048667e-05,256.0,16,16,0
178,7.483522914359281e-05,63368.0,356,356,0
17,1.464245991653896e-05,3264,192,306,0
18034,0.014388629310344877,3445756380,191070,360680,0
18,1.1521863867010405e-05,324.0,18,18,0
1920,0.0012264231052244348,37699200,19635,30720,0
194853,0.1567647187499972,379676916090.0,1948530,1948530,0
19,1.6128781793841645e-05,3211,169,171,0
1,3.8083211784464304e-06,28.0,14,14,0
205,0.00012358288637880636,450590,2198,3895,0
20744,0.0126231486146093,2581881216.0,124464,124464,0
20,1.650748614197091e-05,4260,213,380,0
21,1.6794373908370485e-05,4326,206,273,0
2209,0.0013681510259918807,43917129.0,19881,19881,0
224135,0.18578529629629278,526676457430,2349818,4034430,0
22,1.8031699664610148e-05,4642,211,418,0
236,0.00012660186357421868,278480.0,1180,1180,0
23861,0.017186381443298784,5943560351,249091,477220,0
23,1.765370533176563e-05,5911,257,276,0
24,1.5704211240444337e-05,1728.0,72,72,0
2541,0.0016279280598957928,67102728,26408,27951,0
26,1.4115828611597393e-05,676.0,26,26,0
271,0.0001704474177603597,734410.0,2710,2710,0
27447,0.01594382165605123,2260013427.0,82341,82341,0
2922,0.0016443117395592876,25614252.0,8766,8766,0
29,2.1905857612268115e-05,8062,278,493,0
2,3.944142279382561e-06,42,21,40,0
312,0.00018881145683861023,1039896,3333,5616,0
31572,0.022892036529681088,10499836896,332568,599868,0
3362,0.0016407240813648449,33909132.0,10086,10086,0
34,1.6447748968729132e-05,1156.0,34,34,0
358,0.00021228050437293886,1310638,3661,6802,0
36316,0.02662056914893699,13759478712,378882,653688,0
3867,0.0018457829457364753,29907378.0,7734,7734,0
39,2.6667809826553192e-05,15210.0,390,390,0
3,4.281931388140348e-06,18.0,6,6,0
412,0.0002389533572281894,1713508,4159,7416,0
41773,0.030276891566263273,18326232830,438710,584822,0
4448,0.0029752700773348698,208468864,46868,88960,0
44,2.9985367228589987e-05,20856,474,616,0
474,0.00027329334280716544,2342508,4942,5214,0
48051,0.03481816666666601,24178590486,503186,768816,0
4,4.960447392492487e-06,156,39,60,0
5116,0.002677413276231308,104693824.0,20464,20464,0
51,2.57788335619056e-05,10404.0,204,204,0
545,0.0003123614442778592,2970250.0,5450,5450,0
55271,0.029035890173410125,9164650323.0,165813,165813,0
5885,0.003960713380839282,364758185,61981,111815,0
58,3.468405718685664e-05,26912.0,464,464,0
5,5.8401039537462755e-06,330,66,70,0
627,0.0003632509262622568,4217202,6726,9405,0
63577,0.046823542056075064,42351945704,666152,826501,0
6769,0.004566527853881307,458193610.0,67690,67690,0
67,3.328134589143712e-05,17956.0,268,268,0
6,6.74696454065316e-06,324.0,54,54,0
721,0.0003766446218740806,3638887.0,5047,5047,0
73131,0.04172977499999888,21392572644.0,292524,292524,0
7786,0.004147326699834047,303108980.0,38930,38930,0
77,3.499452687569957e-05,17787.0,231,231,0
7,6.801765734146782e-06,441,63,77,0
829,0.00049326644963994,7097898,8562,14922,0
84121,0.06012020238095298,74086290031,880711,1682420,0
8956,0.006396601023017675,842490920,94070,161208,0
89,4.603996243163244e-05,47526.0,534,534,0
8,6.179985761323903e-06,64.0,8,8,0
954,0.0005550572760572716,9768006,10239,11448,0
96762,0.060367144578311084,56177307864.0,580572,580572,0
9,6.797048727935246e-06,81.0,9,9,0
