instancia,tempo_execucao,valor_mochila,peso_mochila,capacidade_mochila,peso_total
102,5.138117601117923e-05,161523,1053,1428,0
10302,0.0042733808710504135,934834092.0,51510,51510,0
1097,0.0004922867972826679,18358068,11203,13164,0
10,7.892578929672607e-06,980,70,110,0
111302,0.06754726666666708,188704513660.0,1113020,1113020,0
117,5.135436459435387e-05,140521.0,702,702,0
11850,0.006999769553072652,2204559806,124004,154050,0
11,9.101717129610242e-06,2086,130,220,0
1262,0.00034616837441151844,3107216.0,1262,1262,0
128028,0.07786244615384616,258088041720,1343786,2304504,0
12,8.148010175230843e-06,1436.0,72,72,0
135,3.856837395865466e-05,35591.0,135,135,0
13630,0.007665502297090393,2920530420,142892,177190,0
13,9.553378450674041e-06,2711,136,260,0
1451,0.0006670025343470645,32443846,14940,23216,0
147267,0.06532559740259915,120820830751.0,441801,441801,0
14,8.249904301167512e-06,1405.0,56,56,0
155,7.595424578459753e-05,359249,1576,1860,0
15678,0.0089345053571429,3891493517,165389,313560,0
15,8.660653290006984e-06,1965.0,75,75,0
1670,0.0007452456035767464,44498573,17768,33400,0
169397,0.07708224615384482,207714380363.0,677588,677588,0
16,8.331430437665781e-06,955.0,32,32,0
178,5.996886431510089e-05,231841.0,712,712,0
17,9.242468774319245e-06,2511.0,85,85,0
18034,0.0065063094928480844,1239044160.0,36068,36068,0
18,9.658900277789329e-06,1691.0,54,54,0
1920,0.0008517806165900603,58096470,20187,21120,0
194853,0.11712702325581462,598543974482,2046794,3897060,0
19,1.108613701570263e-05,4738.0,152,152,0
1,3.0700360913297105e-06,12,12,16,0
205,9.919893262439149e-05,611090,1985,3280,0
20744,0.011339776018099672,6558009139.0,207440,207440,0
20,1.269603426911483e-05,7135,243,280,0
21,1.1032340202068343e-05,3028.0,84,84,0
2209,0.0005855625951516352,9535363.0,2209,2209,0
224135,0.13592862162161853,791082013959,2352512,3362025,0
22,1.1282011534712148e-05,3356.0,88,88,0
236,9.698568491290686e-05,722870.0,1888,1888,0
23861,0.012208760975609705,7370984048.0,190888,190888,0
23,1.4105332942145575e-05,6458,195,299,0
24,1.4596535376063317e-05,9244,259,432,0
2541,0.000729982335766433,24577043.0,5082,5082,0
26,1.51937286528663e-05,7950.0,208,208,0
271,7.957622586857353e-05,281027.0,542,542,0
27447,0.013741719780220372,8792944454.0,192129,192129,0
2922,0.0014293292369247654,120664038.0,26298,26298,0
29,1.3391673608005236e-05,4464.0,87,87,0
2,3.650100085704312e-06,30.0,10,10,0
312,0.00014489865824325368,1522261,3264,3744,0
31572,0.018237400000000643,15753631108,332833,442008,0
3362,0.0016318309951060103,159443281.0,30258,30258,0
34,1.6335801121940167e-05,9550.0,170,170,0
358,0.00014907185235979364,1648380.0,2864,2864,0
36316,0.02172516450216542,20753187104,380677,508424,0
3867,0.0019905529458598284,234816231,40410,73473,0
39,2.214667711987565e-05,22440,388,780,0
3,4.004472995441216e-06,76,19,39,0
412,0.0001922258957404275,2745128,4444,7416,0
41773,0.016847070707070897,9722141105.0,125319,125319,0
4448,0.0022822733911455314,315874583,47347,88960,0
44,2.389347854135625e-05,29029,439,792,0
474,0.00021670039871717962,3555890,5026,8532,0
48051,0.028340163841808572,36398342134,504770,576612,0
4,4.427100746585916e-06,193,33,52,0
5116,0.0021697379609544633,268928683.0,30696,30696,0
51,2.757761145460568e-05,41817,554,816,0
545,0.000249753196803195,4929993,6035,8720,0
55271,0.03248099350649274,48029910925,579056,829065,0
5885,0.0030762564575646275,542769451,61630,111815,0
58,3.0745312893924025e-05,55793,639,1160,0
5,5.342180334804795e-06,271.0,35,35,0
627,0.0002900127602807233,6381703,6766,12540,0
63577,0.037731488721804395,63700976251,667862,762924,0
6769,0.0035546403695805367,717341919,70726,115073,0
67,3.4973720840764905e-05,69969,699,1273,0
6,6.186319572896497e-06,601.0,72,72,0
721,0.00031030079434033115,7336845.0,6489,6489,0
73131,0.03172379113924089,38723859946.0,292524,292524,0
7786,0.004133989256198325,954071442,81841,155720,0
77,4.007669864781535e-05,88284,753,1386,0
7,6.401361441279185e-06,734.0,70,70,0
829,0.0003145945639864122,8072551.0,5803,5803,0
84121,0.049108960784313274,111474188865,883477,925331,0
8956,0.003673191629955854,706909729.0,44780,44780,0
89,4.443125633142226e-05,126063,926,1513,0
8,6.623175812166618e-06,1058,93,128,0
954,0.0004380592255125267,14005772,9796,13356,0
96762,0.057818413793105115,147893938443,1018394,1451430,0
9,7.940317422002284e-06,1026.0,72,72,0
