instancia,tempo_execucao,valor_mochila,peso_mochila,capacidade_mochila,peso_total
103741,0.7284751428571429,32713.333333333332,1720,1720,0
106,0.0005395246007768666,1725,1734,5202,0
1096,0.007333580645161288,63723,64853,680956,0
11519,0.0424104117647059,2657385,2657385,47832930,0
124,0.0008516477601771425,3274,2034,7119,0
1282,0.008404968067226888,80086,79954,879494,0
13477,0.09216232727272726,3379083,3368625,62319562,0
145,0.000499221345846645,2966,2966,11864,0
1499,0.010130914979757098,116121,101131,1163006,0
15768,0.10674740425531914,4344096,4332512,82317728,0
169,0.0010956097721297109,3272,3374,15183,0
1753,0.0060402198067632884,131250,131250,1575000,0
18448,0.1290502564102563,5751239,5566759,108551800,0
197,0.0009466240060583083,4313,4296,21480,0
2051,0.014170951841359782,167865,166614,2082675,0
21584,0.08166650000000018,7164528,7164528,143290560,0
230,0.0014854881164587039,8113,5813,31971,0
2399,0.01841061397058825,216249,215547,2802111,0
25253,0.22066930434782622,9172388,9218361,188976400,0
269,0.0010305284418796342,6770,6770,40620,0
2806,0.01936233204633203,304764,276704,3735504,0
29546,0.28937561111111165,11864606,11849460,248838660,0
314,0.0024315430238210905,8485,8959,58233,0
3283,0.012725315521628557,354401,354401,4961614,0
34568,0.2734615263157901,15593477,15247797,327827635,0
367,0.002479521566683198,11029,10904,76328,0
