instancia,tempo_execucao,valor_mochila,peso_mochila,capacidade_mochila,peso_total
102,0.0001622019074806981,83232.0,816,816,0
10302,0.016180093548387096,1114913346,108223,195738,0
1097,0.001734723898716615,12034090.0,10970,10970,0
10,1.683811197995595e-05,1160,116,150,0
111302,0.18316007142857163,74328811224.0,667812,667812,0
117,0.0001634293512011768,139815,1195,1989,0
11850,0.017470114982578392,421267500.0,35550,35550,0
11,1.8396701117410946e-05,242.0,22,22,0
1262,0.0021590552677029353,11148508.0,8834,8834,0
128028,0.19490969230769187,16391168784.0,128028,128028,0
12,2.0822963518240862e-05,1776,148,192,0
135,0.00018681091683479033,184410,1366,1755,0
13630,0.020854608333333354,557330700.0,40890,40890,0
13,2.3024336670319856e-05,169.0,13,13,0
1451,0.002528256319514659,21054010.0,14510,14510,0
147267,0.28468761111111085,195188123601.0,1325403,1325403,0
14,2.3477560219749272e-05,2184,156,224,0
155,0.0002810582878983758,216225.0,1395,1395,0
15678,0.02531531818181819,2562757236,163462,172458,0
15,2.3672403262994964e-05,2475,165,180,0
1670,0.003069112269938656,28592070,17121,18370,0
169397,0.2750029473684215,300591927354,1774482,3387940,0
16,2.2957707353805474e-05,256.0,16,16,0
178,0.00024914161144053083,63368.0,356,356,0
17,2.8844223946465112e-05,3264,192,306,0
18034,0.02827712429378536,3445756380,191070,360680,0
18,2.7986292322245128e-05,324.0,18,18,0
1920,0.0026845297906602315,37699200,19635,30720,0
194853,0.3340149333333348,379676916090.0,1948530,1948530,0
19,2.8081779480152104e-05,3211,169,171,0
1,2.389465041894481e-06,28.0,14,14,0
205,0.0002662132360770943,450590,2198,3895,0
20744,0.032394483870967675,2581881216.0,124464,124464,0
20,2.7923796067218127e-05,4260,213,380,0
21,2.826544560332394e-05,4326,206,273,0
2209,0.0033906196610169414,43917129.0,19881,19881,0
224135,0.34805820000000076,526676457430,2349818,4034430,0
22,3.201940367325002e-05,4642,211,418,0
236,0.00035025959652563706,278480.0,1180,1180,0
23861,0.034358965753424724,5943560351,249091,477220,0
23,3.3008595421056636e-05,5911,257,276,0
24,3.569318189930261e-05,1728.0,72,72,0
2541,0.003414313310580187,67102728,26408,27951,0
26,3.5216291026905235e-05,676.0,26,26,0
271,0.0004196356159785173,734410.0,2710,2710,0
27447,0.04051684677419358,2260013427.0,82341,82341,0
2922,0.004276048717948707,25614252.0,8766,8766,0
29,3.978603996085083e-05,8062,278,493,0
2,7.854373629411847e-06,42,21,40,0
312,0.00042154636654864026,1039896,3333,5616,0
31572,0.04685513084112146,10499836896,332568,599868,0
3362,0.004858190291262091,33909132.0,10086,10086,0
34,4.483230966492389e-05,1156.0,34,34,0
358,0.0004804860190256527,1310638,3661,6802,0
36316,0.05359320212765946,13759478712,378882,653688,0
3867,0.005426561822125806,29907378.0,7734,7734,0
39,6.092674189067362e-05,15210.0,390,390,0
3,8.362369693452518e-06,18.0,6,6,0
412,0.0005481368121026115,1713508,4159,7416,0
41773,0.06266638750000056,18326232830,438710,584822,0
4448,0.006273860727728922,208468864,46868,88960,0
44,5.599262021545817e-05,20856,474,616,0
474,0.0006422236064731666,2342508,4942,5214,0
48051,0.07327495652173908,24178590486,503186,768816,0
4,9.186982428998463e-06,156,39,60,0
5116,0.007488877245509055,104693824.0,20464,20464,0
51,7.705248801836963e-05,10404.0,204,204,0
545,0.000865643240436208,2970250.0,5450,5450,0
55271,0.08517340677966038,9164650323.0,165813,165813,0
5885,0.00821191461412152,364758185,61981,111815,0
58,9.601269274343831e-05,26912.0,464,464,0
5,1.0179818310639125e-05,330,66,70,0
627,0.0008298723863259303,4217202,6726,9405,0
63577,0.0969607307692312,42351945704,666152,826501,0
6769,0.011163180803571418,458193610.0,67690,67690,0
67,0.00010317810565414718,17956.0,268,268,0
6,1.1316250342316128e-05,324.0,54,54,0
721,0.001077366084895503,3638887.0,5047,5047,0
73131,0.1126758222222217,21392572644.0,292524,292524,0
7786,0.011761441314553887,303108980.0,38930,38930,0
77,0.00011374502934619515,17787.0,231,231,0
7,1.4339318489457898e-05,441,63,77,0
829,0.001103832891832228,7097898,8562,14922,0
84121,0.12844825641025764,74086290031,880711,1682420,0
8956,0.013301220744680712,842490920,94070,161208,0
89,0.00013803367932862213,47526.0,534,534,0
8,1.5337880493633176e-05,64.0,8,8,0
954,0.0013781987320837822,9768006,10239,11448,0
96762,0.15608254545454622,56177307864.0,580572,580572,0
9,1.5226648435311133e-05,81.0,9,9,0
