instancia,tempo_execucao,valor_mochila,peso_mochila,capacidade_mochila,peso_total
102,7.412987398072648e-05,161523,1053,1428,0
10302,0.011141817371937639,934739934,51515,51510,0
1097,0.0006373421689817765,18358068,11203,13164,0
10,1.8514357867296644e-05,980,70,110,0
111302,0.1315983076923077,188704513660.0,1113020,1113020,0
117,0.00019640278105114312,140521.0,702,702,0
11850,0.006652097074468089,2204559806,124004,154050,0
11,1.9237645628453134e-05,2086,130,220,0
1262,0.001447861320208453,3078356,1263,1262,0
128028,0.0766284545454546,258088041720,1343786,2304504,0
12,4.520405930747669e-05,1436.0,72,72,0
135,0.0002130783260888093,31979,137,135,0
13630,0.007704500000000011,2920530420,142892,177190,0
13,2.042141634775227e-05,2711,136,260,0
1451,0.0008311105201927877,32443846,14940,23216,0
147267,0.1632738387096777,120820830751.0,441801,441801,0
14,4.808775017551951e-05,1300,65,56,0
155,0.00010435706384488563,359249,1576,1860,0
15678,0.008872187943262427,3891493517,165389,313560,0
15,4.858553910136813e-05,1745,85,75,0
1670,0.00095025370581528,44498573,17768,33400,0
169397,0.18834111111111124,207714106189,677594,677588,0
16,3.485634315352123e-05,955.0,32,32,0
178,0.0002802157587984755,230083,717,712,0
17,6.124496570308674e-05,2511,85,85,0
18034,0.019159316793893117,1239044160.0,36068,36068,0
18,6.434545594934773e-05,1502,55,54,0
1920,0.0010956202892199855,58096470,20187,21120,0
194853,0.11464881818181864,598543974482,2046794,3897060,0
19,6.493535064935066e-05,4738.0,152,152,0
1,1.2395627824646836e-05,12,12,16,0
205,0.00013906349603671375,611090,1985,3280,0
20744,0.025179582914572753,6557813434,207448,207440,0
20,2.80505301542776e-05,7135,243,280,0
21,7.724611843223255e-05,2656,86,84,0
2209,0.0025196503778337565,9535363.0,2209,2209,0
224135,0.1317395263157902,791082013959,2352512,3362025,0
22,7.132780313837375e-05,2795,90,88,0
236,0.0003817408764696906,722870.0,1888,1888,0
23861,0.029085889534883665,7370984048.0,190888,190888,0
23,3.0385986022485525e-05,6458,195,299,0
24,2.8744821639023896e-05,9244,259,432,0
2541,0.00286904475043029,24535805,5089,5082,0
26,6.29464831996779e-05,7950.0,208,208,0
271,0.00039163267543859757,281027.0,542,542,0
27447,0.030779785276073536,8792944454.0,192129,192129,0
2922,0.0034109795361527955,120664038.0,26298,26298,0
29,7.491295228106984e-05,4239,93,87,0
2,1.386522745864697e-05,30.0,10,10,0
312,0.00020870893684518148,1522261,3264,3744,0
31572,0.01811213718411556,15753631108,332833,442008,0
3362,0.003903255269320838,159443281.0,30258,30258,0
34,6.859560165178058e-05,9550.0,170,170,0
358,0.00048756015990639336,1648380.0,2864,2864,0
36316,0.02215885840707965,20753187104,380677,508424,0
3867,0.002187166156536923,234816231,40410,73473,0
39,3.611560547509837e-05,22440,388,780,0
3,1.3647962637434848e-05,76,19,39,0
412,0.00025085069984447843,2745128,4444,7416,0
41773,0.04579872727272697,9722141105.0,125319,125319,0
4448,0.0025046329494241414,315874583,47347,88960,0
44,3.905944848058745e-05,29029,439,792,0
474,0.0002829496944318704,3555890,5026,8532,0
48051,0.028983277456647537,36398342134,504770,576612,0
4,1.438551436824599e-05,193,33,52,0
5116,0.005654737853107258,268863091,30698,30696,0
51,4.3240476334610284e-05,41817,554,816,0
545,0.00032767391874180676,4929993,6035,8720,0
55271,0.03371241610738284,48029910925,579056,829065,0
5885,0.0033049953734302583,542769451,61630,111815,0
58,4.945674042275439e-05,55793,639,1160,0
5,3.1133405977584024e-05,271.0,35,35,0
627,0.000432415463115114,6381703,6766,12540,0
63577,0.04170309999999991,63700976251,667862,762924,0
6769,0.003996389776357847,717341919,70726,115073,0
67,5.5015470269794366e-05,69969,699,1273,0
6,4.83709561953407e-05,601,72,72,0
721,0.0010348170529801384,7336845,6489,6489,0
73131,0.08520655932203337,38723859946.0,292524,292524,0
7786,0.005109255362614966,954071442,81841,155720,0
77,6.607955912088504e-05,88284,753,1386,0
7,3.09734744067052e-05,734.0,70,70,0
829,0.001141576027397253,8070323,5816,5803,0
84121,0.051440734693877214,111474188865,883477,925331,0
8956,0.01033200826446284,706909729.0,44780,44780,0
89,7.518911278195371e-05,126063,926,1513,0
8,2.0088239548095205e-05,1058,93,128,0
954,0.0006139791257367392,14005772,9796,13356,0
96762,0.0618302098765437,147893938443,1018394,1451430,0
9,5.821974336880754e-05,994,79,72,0
