instancia,tempo_execucao,valor_mochila,peso_mochila,capacidade_mochila,peso_total
103741,0.08343591666666678,32713.333333333332,1720,1720,0
106,6.424892383999592e-05,1725,1734,5202,0
1096,0.0006146108652900615,63723,64853,680956,0
11519,0.00974114396887164,2657385,2657385,47832930,0
124,8.02338650149238e-05,3274,2034,7119,0
1282,0.0007847743251726316,80086,79954,879494,0
13477,0.011278335585585494,3379083,3368625,62319562,0
145,9.697230518598988e-05,2966,2966,11864,0
1499,0.0008991267757597457,116121,101131,1163006,0
15768,0.015986907348242756,4344096,4332512,82317728,0
169,0.00010757675509369986,3272,3374,15183,0
1753,0.0010710942385949917,131250,131250,1575000,0
18448,0.015841567823343804,5751239,5566759,108551800,0
197,0.00012636087945413273,4313,4296,21480,0
2051,0.0014329638968481316,167865,166614,2082675,0
21584,0.01793373118279571,7164528,7164528,143290560,0
230,0.0001488997319833228,8113,5813,31971,0
2399,0.0014596476941039038,216249,215547,2802111,0
25253,0.02181048695652175,9172388,9218361,188976400,0
269,0.00017412080373311174,6770,6770,40620,0
2806,0.0018692594392523375,304764,276704,3735504,0
29546,0.02506972499999989,11864606,11849460,248838660,0
314,0.0001901469425007614,8485,8959,58233,0
3283,0.0022169867021276696,354401,354401,4961614,0
34568,0.029290964912280747,15593477,15247797,327827635,0
367,0.00021572108373959226,11029,10904,76328,0
3841,0.00255320571720263,456215,457864,6639028,0
40444,0.031453503144654386,19668481,19668481,432706582,0
429,0.0002578414294554464,18886,14596,109470,0
4493,0.002930570005858255,578835,576606,8649090,0
47319,0.03928104687499978,25304273,25369842,570821445,0
50,8.572860229065168e-05,455.3333333333333,252,252,0
501,0.0003050914637866848,18225,18225,145800,0
5256,0.003486180487804896,805600,753040,11672120,0
55363,0.04640962962962929,32633200,32597069,749732587,0
58,7.754419975186173e-05,646,647,647,0
586,0.0003467821624245819,23862,24305,206592,0
6149,0.00419679026845636,955114,955114,15281824,0
64774,0.05221580208333343,42518422,41870682,983961027,0
67,4.443386920472398e-05,1562,892,1338,0
685,0.0003959011084718911,29748,29874,268866,0
7194,0.004910167811579996,1240551,1233326,20349879,0
75785,0.059520517647059235,53890371,53890371,1293368904,0
78,5.335337992850632e-05,1076,1076,2152,0
801,0.00046111268904464037,46388,38378,364591,0
8416,0.005736076834862348,1592267,1590724,27042308,0
88668,0.06998213888888927,69476973,69313426,1698178937,0
91,5.784561188366318e-05,1293,1277,3192,0
937,0.0005499892212934491,48627,48627,486270,0
9846,0.00705076056338026,2157401,2058941,36031467,0
