instancia,tempo_execucao,valor_mochila,peso_mochila,capacidade_mochila,peso_total
102,9.069533829131092e-05,83232.0,816,816,0
10302,0.007264648766328068,1114913346,108223,195738,0
1097,0.0009141559414990835,12034090.0,10970,10970,0
10,1.1532788832583283e-05,1160,116,150,0
111302,0.09834917647058809,74328811224.0,667812,667812,0
117,7.468273338312139e-05,139815,1195,1989,0
11850,0.008510256802721085,421267500.0,35550,35550,0
11,1.3356934107678186e-05,242,22,22,0
1262,0.0010006852111266893,11148508.0,8834,8834,0
128028,0.0918685272727275,16391168784.0,128028,128028,0
12,1.2700479570012644e-05,1776,148,192,0
135,8.558960269775184e-05,184410,1366,1755,0
13630,0.010091723790322573,557330700.0,40890,40890,0
13,1.3696213003164076e-05,169.0,13,13,0
1451,0.0012119929714008678,21054010.0,14510,14510,0
147267,0.1415715277777786,195188123601.0,1325403,1325403,0
14,1.396574762791885e-05,2184,156,224,0
155,0.0001366353500573872,216225.0,1395,1395,0
15678,0.01108518362831852,2562757236,163462,172458,0
15,1.4146615286242098e-05,2475,165,180,0
1670,0.0010544938844369198,28592070,17121,18370,0
169397,0.14453702857142617,300591927354,1774482,3387940,0
16,1.7653189047963697e-05,256.0,16,16,0
178,0.00016165241990236855,63368.0,356,356,0
17,1.6062028179148867e-05,3264,192,306,0
18034,0.013351367999999942,3445756380,191070,360680,0
18,1.6807660243912193e-05,324.0,18,18,0
1920,0.001135613445378142,37699200,19635,30720,0
194853,0.1919171111111087,379676916090.0,1948530,1948530,0
19,1.7820014683660103e-05,3211,169,171,0
1,2.3745093671981994e-06,28.0,14,14,0
205,0.00012398199806590917,450590,2198,3895,0
20744,0.01718770547945216,2581881216.0,124464,124464,0
20,1.741703590686815e-05,4260,213,380,0
21,1.7752376150795392e-05,4326,206,273,0
2209,0.001834397652237727,43917129.0,19881,19881,0
224135,0.17020800000000236,526676457430,2349818,4034430,0
22,1.823145865846039e-05,4642,211,418,0
236,0.0001742234921077394,278480.0,1180,1180,0
23861,0.017704455830388655,5943560351,249091,477220,0
23,1.903843093055925e-05,5911,257,276,0
24,2.259309014174869e-05,1728.0,72,72,0
2541,0.0014570597319347662,67102728,26408,27951,0
26,2.218915308694555e-05,676.0,26,26,0
271,0.0002299713917762811,734410.0,2710,2710,0
27447,0.020707396694214637,2260013427.0,82341,82341,0
2922,0.0020726779941981186,25614252.0,8766,8766,0
29,2.299707477267395e-05,8062,278,493,0
2,5.836099059571368e-06,42,21,40,0
312,0.00019116941311412818,1039896,3333,5616,0
31572,0.022952188073394268,10499836896,332568,599868,0
3362,0.0024856133200795,33909132.0,10086,10086,0
34,3.0104298874104053e-05,1156.0,34,34,0
358,0.00023610278079410884,1310638,3661,6802,0
36316,0.02833676271186402,13759478712,378882,653688,0
3867,0.002623311122770218,29907378.0,7734,7734,0
39,4.973522127062791e-05,15210.0,390,390,0
3,7.637255111610742e-06,18.0,6,6,0
412,0.0002496276085871198,1713508,4159,7416,0
41773,0.030831503067484604,18326232830,438710,584822,0
4448,0.0029932669060442276,208468864,46868,88960,0
44,3.2410469819539795e-05,20856,474,616,0
474,0.00028310480126825715,2342508,4942,5214,0
48051,0.03540964084506996,24178590486,503186,768816,0
4,6.9463974615098665e-06,156,39,60,0
5116,0.0036777463235293673,104693824,20464,20464,0
51,4.148387123537696e-05,10404.0,204,204,0
545,0.0004699702067669202,2970250.0,5450,5450,0
55271,0.04179763333333331,9164650323.0,165813,165813,0
5885,0.003879983708301022,364758185,61981,111815,0
58,5.444115501453584e-05,26912.0,464,464,0
5,7.807843118883504e-06,330,66,70,0
627,0.0003782282904689782,4217202,6726,9405,0
63577,0.04736775471698009,42351945704,666152,826501,0
6769,0.006259799749686954,458193610.0,67690,67690,0
67,5.312271307451987e-05,17956.0,268,268,0
6,1.006827490384806e-05,324.0,54,54,0
721,0.0005695045558086489,3638887.0,5047,5047,0
73131,0.058617953488372454,21392572644.0,292524,292524,0
7786,0.0060855389294404766,303108980,38930,38930,0
77,5.7383466844170874e-05,17787.0,231,231,0
7,9.401975163782107e-06,441,63,77,0
829,0.0005250668766404076,7097898,8562,14922,0
84121,0.07221970000000023,74086290031,880711,1682420,0
8956,0.006959165507649381,842490920,94070,161208,0
89,7.866730124765906e-05,47526.0,534,534,0
8,1.1074877124435112e-05,64.0,8,8,0
954,0.0006310157748611704,9768006,10239,11448,0
96762,0.08805973684210337,56177307864.0,580572,580572,0
9,1.1549809659327126e-05,81.0,9,9,0
