instancia,tempo_execucao,valor_mochila,peso_mochila,capacidade_mochila,peso_total
102,7.010219418156348e-05,161523,1053,1428,0
10302,0.010188883910386875,934834092.0,51510,51510,0
1097,0.0006360091579750663,18358068,11203,13164,0
10,1.1869171058253768e-05,980,70,110,0
111302,0.118768930232559,188704513660,1113020,1113020,0
117,0.00010780310903171593,140521.0,702,702,0
11850,0.007675714723926397,2204559806,124004,154050,0
11,1.1367130824230145e-05,2086,130,220,0
1262,0.0011241402877697738,3107216.0,1262,1262,0
128028,0.08715574137931098,258088041720,1343786,2304504,0
12,2.2165380335761182e-05,1436.0,72,72,0
135,0.00014395698615149926,35591.0,135,135,0
13630,0.008678298093587748,2920530420,142892,177190,0
13,1.222204024962295e-05,2711,136,260,0
1451,0.0007766142258114659,32443846,14940,23216,0
147267,0.14805247058823773,120820830751.0,441801,441801,0
14,2.3358443584856122e-05,1405.0,56,56,0
155,9.372626389487622e-05,359249,1576,1860,0
15678,0.0102103755102042,3891493517,165389,313560,0
15,2.5021658734805567e-05,1965.0,75,75,0
1670,0.0009176759038355611,44498573,17768,33400,0
169397,0.16811506666666673,207714380363.0,677588,677588,0
16,2.9704559631664634e-05,955.0,32,32,0
178,0.0001744789056774922,231841.0,712,712,0
17,2.9544269017596326e-05,2511,85,85,0
18034,0.01779671886121017,1239044160.0,36068,36068,0
18,3.385256601218799e-05,1691.0,54,54,0
1920,0.0010806829479144127,58096470,20187,21120,0
194853,0.14344505714285397,598543974482,2046794,3897060,0
19,3.4966586010601634e-05,4738.0,152,152,0
1,5.425671019863382e-06,12,12,16,0
205,0.00011931336053642469,611090,1985,3280,0
20744,0.021894820960699186,6558009139.0,207440,207440,0
20,1.7659154481881637e-05,7135,243,280,0
21,3.683916125134486e-05,3028.0,84,84,0
2209,0.002084080000000057,9535363.0,2209,2209,0
224135,0.16857059999999818,791082013959,2352512,3362025,0
22,3.771508527377451e-05,3356.0,88,88,0
236,0.000256613651526812,722870.0,1888,1888,0
23861,0.02627003664921445,7370984048.0,190888,190888,0
23,1.9605940594059355e-05,6458,195,299,0
24,1.968299826396394e-05,9244,259,432,0
2541,0.0026380226673695223,24577043.0,5082,5082,0
26,4.162600109891967e-05,7950.0,208,208,0
271,0.00028974213362692886,281027.0,542,542,0
27447,0.029839541666666896,8792944454,192129,192129,0
2922,0.0032697137254902617,120664038.0,26298,26298,0
29,4.423063585860355e-05,4464.0,87,87,0
2,6.817835720256177e-06,30.0,10,10,0
312,0.00018887190722622992,1522261,3264,3744,0
31572,0.022868721461187104,15753631108,332833,442008,0
3362,0.0035162538677917217,159443281.0,30258,30258,0
34,5.313634721247996e-05,9550.0,170,170,0
358,0.00036683104687843817,1648380.0,2864,2864,0
36316,0.025774134020618532,20753187104,380677,508424,0
3867,0.002537262810755962,234816231,40410,73473,0
39,2.7319538848213005e-05,22440,388,780,0
3,6.297321499416226e-06,76,19,39,0
412,0.00022775239136375703,2745128,4444,7416,0
41773,0.03930420312499994,9722141105.0,125319,125319,0
4448,0.0026474409740603155,315874583,47347,88960,0
44,2.9702230037186878e-05,29029,439,792,0
474,0.00025902439908827426,3555890,5026,8532,0
48051,0.03221817948717934,36398342134,504770,576612,0
4,6.63701647704721e-06,193,33,52,0
5116,0.004695947417840345,268928683.0,30696,30696,0
51,3.292148909973249e-05,41817,554,816,0
545,0.00029261786048689377,4929993,6035,8720,0
55271,0.03678135294117624,48029910925,579056,829065,0
5885,0.0035411726822363234,542769451,61630,111815,0
58,3.752676018282882e-05,55793,639,1160,0
5,1.229313969183563e-05,271.0,35,35,0
627,0.00034554920525224484,6381703,6766,12540,0
63577,0.04312176724137912,63700976251,667862,762924,0
6769,0.004141161423840962,717341919,70726,115073,0
67,4.1781059897052404e-05,69969,699,1273,0
6,1.676648983615791e-05,601,72,72,0
721,0.0006623697178434216,7336845,6489,6489,0
73131,0.07130854929577458,38723859946.0,292524,292524,0
7786,0.004783136711280941,954071442,81841,155720,0
77,4.805509956942969e-05,88284,753,1386,0
7,1.3869567991300971e-05,734.0,70,70,0
829,0.0007530966867469968,8072551.0,5803,5803,0
84121,0.05678091011235936,111474188865,883477,925331,0
8956,0.008314802325581511,706909729.0,44780,44780,0
89,5.461504096122442e-05,126063,926,1513,0
8,8.950457457605966e-06,1058,93,128,0
954,0.0005068364078653969,14005772,9796,13356,0
96762,0.06452176923076901,147893938443,1018394,1451430,0
9,2.0109382603834272e-05,1026.0,72,72,0
