instancia,nodes,edges,tempo_execucao
dmxa0296.stp,233,386,0.005286290580072061
dmxa0368.stp,2050,3676,0.432534654935201
dmxa0454.stp,1848,3286,0.2603579521179199
dmxa0628.stp,169,280,0.0030866506658954384
dmxa0734.stp,663,1154,0.04414945527126914
dmxa0848.stp,499,861,0.024868509556987498
dmxa0903.stp,632,1087,0.04043101687585154
dmxa1010.stp,3983,7108,1.5862070322036743
dmxa1109.stp,343,559,0.012141587664780108
dmxa1200.stp,770,1383,0.05896163267247817
dmxa1304.stp,298,503,0.009126724552934187
dmxa1516.stp,720,1269,0.052957178417005035
dmxa1721.stp,1005,1731,0.09771246176499587
dmxa1801.stp,2333,4137,0.5279150009155273
